normalized_area,display_area,total_appearances,member_count,member_names
journal of experimental psychopathology 10 1 15,"journal of experimental psychopathology , 10 , 1-15",1,1,Christopher Sears
journal of experimental psychopathology,journal of experimental psychopathology,1,1,Christopher Sears
psychiatry research communications,psychiatry research communications,1,1,Christopher Sears
addictive behaviors,addictive behaviors,1,1,Christopher Sears
attentional bias in electronic gaming machine egm players,attentional bias in electronic gaming machine (egm) players,1,1,Christopher Sears
journal of behavioral addictions,journal of behavioral addictions,1,1,Christopher Sears
psychology of addictive behaviors,psychology of addictive behaviors,1,1,Christopher Sears
moderating effect of daily psychosocial stress,moderating effect of daily psychosocial stress,1,1,Christopher Sears
behavior research methods,behavior research methods,1,1,Christopher Sears
impact on attention to images of women s bodies,impact on attention to images of women's bodies,1,1,Christopher Sears
this includes supporting clinical,this includes supporting clinical,1,1,Christopher White
assisting with clinical trials etc,assisting with clinical trials etc,1,1,Christopher White
this includes supporting clinical research projects for faculty,this includes supporting clinical research projects for faculty,1,1,Christopher White
quantum information processing,quantum information processing,1,1,Christoph Simon
there is various experimental evidence,there is various experimental evidence,1,1,Christoph Simon
joern davidsen on learning by purkinje cells,joern davidsen on learning by purkinje cells,1,1,Christoph Simon
role of gut microbiome,role of gut microbiome,1,1,Chunlong Mu
ketogenic therapy in pediatric neurodevelopmental disorders,ketogenic therapy in pediatric neurodevelopmental disorders,1,1,Chunlong Mu
infantile epilepsy,infantile epilepsy,1,1,Chunlong Mu
gut microbiome,gut microbiome,1,1,Chunlong Mu
brain aging in middle to older adults,brain aging in middle to older adults,1,1,Cindy Barha
examines exercise induced changes in the cardiovascular,examines exercise-induced changes in the cardiovascular,1,1,Cindy Barha
immune systems,immune systems,1,1,Cindy Barha
brain health and exercise,brain health and exercise,1,1,Cindy Barha
long term consequences of pregnancy for brain health,long-term consequences of pregnancy for brain health,1,1,Cindy Barha
research brain health,research brain health,1,1,Cindy Barha
ctv her health segment,ctv her health segment,1,1,Cindy Barha
cerebral metabolism after injury,cerebral metabolism after injury,1,1,Clare Gallagher
consequently outcome has not improved,consequently outcome has not improved,1,1,Clare Gallagher
neuromorphic systems and brain inspired technologies,neuromorphic systems and brain-inspired technologies,1,1,Claudia Gomes da Rocha
quantum materials and sensing,quantum materials and sensing,1,1,Claudia Gomes da Rocha
quantum science,quantum science,1,1,Claudia Gomes da Rocha
microneedles for transdermal drug delivery,microneedles for transdermal drug delivery,1,1,Colin Dalton
undergraduate student supervision 56,undergraduate student supervision: 56,1,1,Colin Dalton
therapeutic predictive models for epilepsy,therapeutic predictive models for epilepsy,1,1,Colin Josephson
predictive modeling to epilepsy outcomes,predictive modeling to epilepsy outcomes,1,1,Colin Josephson
vascular dementia,vascular dementia,1,1,Colleen Maxwell
health services,health services,1,1,Colleen Maxwell
advancing teaching and learning,advancing teaching and learning,1,1,Corey Flynn
my scholarship activities focus on advancing teaching and learning,my scholarship activities focus on advancing teaching and learning,1,1,Corey Flynn
scholarship activities focus on advancing teaching and learning,scholarship activities focus on advancing teaching and learning,1,1,Corey Flynn
research areas of research activities my scholarship activities focus on advancing teaching and learning,research areas of research activities my scholarship activities focus on advancing teaching and learning,1,1,Corey Flynn
concomitant disruptions in skilled motor behaviour,concomitant disruptions in skilled motor behaviour,1,1,Corey Flynn
behav brain res 214 60 65,behav brain res 214: 60-65,1,1,Corey Flynn
interictal discharges in a model of experimental epilepsy,interictal discharges in a model of experimental epilepsy,1,1,Corey Flynn
j neurophysiol 103 6 3139 52,j neurophysiol 103(6):3139-52,1,1,Corey Flynn
exp neurol 217 2 421 8,exp neurol. 217(2):421-8,1,1,Corey Flynn
brain res 1178 38 43,brain res. 1178:38-43,1,1,Corey Flynn
neuroscience 149 2 263 72,neuroscience­ . 149(2):263-72,1,1,Corey Flynn
neuroscience 144 4 1409 1414,neuroscience 144(4):1409-1414,1,1,Corey Flynn
neurophysiological recovery from neonatal motor cortex injury,neurophysiological recovery from neonatal motor cortex injury,1,1,Corey Flynn
eur j neurosci 24 739 749,eur j neurosci 24:739-749,1,1,Corey Flynn
dendritic morphology in epilepsy prone,dendritic morphology in epilepsy-prone,1,1,Corey Flynn
epilepsy resistant rat strains following high frequency stimulation,epilepsy-resistant rat strains following high-frequency stimulation,1,1,Corey Flynn
eur j neurosci 19 2319 2328,eur j neurosci 19:2319-2328,1,1,Corey Flynn
neurol res 25 8 794 800,neurol res 25(8):794-800,1,1,Corey Flynn
optimal parameters for microstimulation derived forelimb movement thresholds,optimal parameters for microstimulation derived forelimb movement thresholds,1,1,Corey Flynn
submitted to j neuroscience methods,submitted to j neuroscience methods,1,1,Corey Flynn
geriatric mental health,geriatric mental health,1,1,Dallas Seitz
other mental health conditions,other mental health conditions,1,1,Dallas Seitz
other mental disorders in late life,other mental disorders in late life,1,1,Dallas Seitz
experience mental health,experience - mental health,1,1,Dallas Seitz
i have completed systematic reviews related to geriatric mental health,i have completed systematic reviews related to geriatric mental health,1,1,Dallas Seitz
for health policy,for health policy,1,1,Dallas Seitz
precise mh precision care with information,precise-mh: precision care with information,1,1,Dallas Seitz
precise mh precision care with information science and experience mental health,"precise-mh: precision care with information, science and experience - mental health",1,1,Dallas Seitz
disordered gambling,disordered gambling,1,1,Daniel McGrath
non smoking disordered gamblers,non-smoking disordered gamblers,1,1,Daniel McGrath
behavioral addictions e g disordered gambling gaming,"behavioral addictions (e. g., disordered gambling, gaming)",1,1,Daniel McGrath
canadian journal of public health,canadian journal of public health,1,1,Daniel McGrath
personality and mental health,personality and mental health,1,1,Daniel McGrath
experimental and clinical psychopharmacology,experimental and clinical psychopharmacology,1,1,Daniel McGrath
home health care services quarterly,home health care services quarterly,1,1,Daniel McGrath
gambling disorder batista de oliveria,gambling disorder . batista de oliveria,1,1,Daniel McGrath
c journal of behavioral addictions 8 3,c.. journal of behavioral addictions. 8(3),1,1,Daniel McGrath
mental health 12 4,mental health. 12(4),1,1,Daniel McGrath
dishonest gambler low hexaco honesty humility and gambling severity in a community sample of gamblers,dishonest gambler: low hexaco honesty-humility and gambling severity in a community sample of gamblers,1,1,Daniel McGrath
patterns and motives for electronic cigarette use in a sample of community recruited gamblers,patterns and motives for electronic cigarette use in a sample of community-recruited gamblers,1,1,Daniel McGrath
international journal of mental health,international journal of mental health,1,1,Daniel McGrath
canadian journal of behavioural science 44 3,canadian journal of behavioural science. 44(3),1,1,Daniel McGrath
comparison of gambling behaviour,comparison of gambling behaviour,1,1,Daniel McGrath
s home health care services quarterly 31,s.. home health care services quarterly. 31,1,1,Daniel McGrath
indigenous mental health,indigenous mental health,1,1,Daniel Okoro
military psychiatry,military psychiatry,1,1,Daniel Okoro
cultural psychiatry,cultural psychiatry,1,1,Daniel Okoro
racism and mental disorders,racism and mental disorders,1,1,Daniel Okoro
random musings in psychiatry,random musings in psychiatry,1,1,Daniel Okoro
equine health,equine health,1,1,Daniel Pang
novel therapeutics and medicinal chemistry,novel therapeutics and medicinal chemistry,1,1,Darren Derksen
particularly those occurring in the brain,particularly those occurring in the brain,1,1,Darren Derksen
exploration of neuromodulation therapies,exploration of neuromodulation therapies,1,1,Darren Laree Clark
advanced imaging of the human spinal cord,advanced imaging of the human spinal cord,1,1,David Cadotte
spinal column,spinal column,1,1,David Cadotte
substance abuse addictions,substance abuse addictions,1,1,David Carson Hodgins
other mental health comorbidities e,other mental health comorbidities (e,1,1,David Carson Hodgins
more information i am not accepting msc,more information i am not accepting msc,1,1,David Carson Hodgins
clinical research biomarkers,clinical research: biomarkers,1,1,Davide Martino
non invasive neuro modulation,non-invasive neuro modulation,1,1,Davide Martino
other neurodevelopmental disorders,other neurodevelopmental disorders,1,1,Davide Martino
topics such as clinical geriatrics,topics such as clinical geriatrics,1,1,David Hogan
as a geriatrician i ve been particularly interested over the years in age related health issues,"as a geriatrician, i've been particularly interested over the years in age-related health issues",1,1,David Hogan
colleagues in the brenda strafford centre on aging,colleagues in the brenda strafford centre on aging,1,1,David Hogan
health reports,health reports,1,1,David Hogan
can j public health,can j public health,1,1,David Hogan
health promot chronic dis prev can,health promot chronic dis prev can,1,1,David Hogan
non prescription polypharmacy by frailty,non-prescription polypharmacy by frailty,1,1,David Hogan
incidence of neurological,incidence of neurological,1,1,David Hogan
consensus statement regarding the application of biogen to health canada for approval of aducanumab,consensus statement regarding the application of biogen to health canada for approval of aducanumab,1,1,David Hogan
books and book chapters creating the future of health,books and book chapters creating the future of health,1,1,David Hogan
creating the future of health robert lampard,creating the future of health . robert lampard,1,1,David Hogan
creating the future of health,creating the future of health,1,1,David Hogan
treatment of childhood trauma,treatment of childhood trauma,1,1,David Lindenbach
social services,social services,1,1,David Lindenbach
i joined hull services,i joined hull services,1,1,David Lindenbach
improving health outcomes by consolidating and strengthening transdisciplinary community academic partnerships,improving health outcomes by consolidating and strengthening transdisciplinary community-academic partnerships,1,1,David Lindenbach
investigating interventions to support youth impacted by developmental trauma principal investigator,investigating interventions to support youth impacted by developmental trauma principal investigator,1,1,David Lindenbach
co developing a partnerships platform to disseminate community led health equity research and knowledge mobilization collaborator,co-developing a partnerships platform to disseminate community-led health equity research and knowledge mobilization collaborator,1,1,David Lindenbach
burns memorial fund for children community grant,burns memorial fund for children: community grant,1,1,David Lindenbach
beginner level pump track to support trauma informed sports for vulnerable youth project holder,beginner-level pump track to support trauma-informed sports for vulnerable youth project holder,1,1,David Lindenbach
parks foundation calgary amateur sport grant,parks foundation calgary: amateur sport grant,1,1,David Lindenbach
trauma informed campus based care ticbc environments,trauma-informed campus-based care (ticbc) environments,1,1,David Lindenbach
improving health outcomes by consolidating,improving health outcomes by consolidating,1,1,David Lindenbach
learning from wise practices,learning from wise practices,1,1,David Lindenbach
canadian institutes of health research 10,canadian institutes of health research. $10,1,1,David Lindenbach
investigating interventions to support youth impacted by developmental trauma,investigating interventions to support youth impacted by developmental trauma,1,1,David Lindenbach
canadian institutes of health research planning,canadian institutes of health research: planning,1,1,David Lindenbach
co developing a partnerships platform to disseminate community led health equity research and knowledge mobilization,co-developing a partnerships platform to disseminate community-led health equity research and knowledge mobilization,1,1,David Lindenbach
building transdisciplinary partnerships to advance post secondary mental health,building transdisciplinary partnerships to advance post-secondary mental health,1,1,David Lindenbach
building transdisciplinary partnerships to advance post secondary mental health and well being research and knowledge mobilization,building transdisciplinary partnerships to advance post-secondary mental health and well-being research and knowledge mobilization,1,1,David Lindenbach
youth mind co supervisor,youth-mind co-supervisor,1,1,David Lindenbach
gathering youth perspectives to optimize therapeutic recreaton,gathering youth perspectives to optimize therapeutic recreaton,1,1,David Lindenbach
parks foundation calgary amateur sport grant 50,parks foundation calgary: amateur sport grant. $50,1,1,David Lindenbach
beginner level pump track to support trauma informed sports for vulnerable youth,beginner-level pump track to support trauma-informed sports for vulnerable youth,1,1,David Lindenbach
implementing canadian practice guidelines for transitions for youth,implementing canadian practice guidelines for transitions for youth,1,1,David Lindenbach
young adults with eating disorders co applicant,young adults with eating disorders co-applicant,1,1,David Lindenbach
young adults with eating disorders,young adults with eating disorders,1,1,David Lindenbach
behavioural brain research 434,behavioural brain research . 434,1,1,David Lindenbach
experiences of canadian mental health providers in identifying,experiences of canadian mental health providers in identifying,1,1,David Lindenbach
herhealth podcast,herhealth podcast,1,1,David Lindenbach
concurrent psychiatric,concurrent psychiatric,1,1,David Neil Crockford
substance use disorders,substance use disorders,1,1,David Neil Crockford
patient and family centred care,patient and family centred care,1,1,David Nicholas
consist of neurodevelopmental disabilities,consist of neurodevelopmental disabilities,1,1,David Nicholas
chronic health issues in childhood,chronic health issues in childhood,1,1,David Nicholas
other family members,other family members,1,1,David Nicholas
incorporation of the social determinants of health,incorporation of the social determinants of health,1,1,David Nicholas
access to services,access to services,1,1,David Nicholas
focus consist of neurodevelopmental disabilities,focus consist of neurodevelopmental disabilities,1,1,David Nicholas
this program of research incorporates multiple partnerships at the community provincial and international level,"this program of research incorporates multiple partnerships at the community, provincial, and international level",1,1,David Nicholas
consist of neurodevelopmental disabilities and chronic health issues in childhood and adolescence,consist of neurodevelopmental disabilities and chronic health issues in childhood and adolescence,1,1,David Nicholas
kanata learning company ltd,kanata learning company ltd,1,1,David Nicholas
canadian association of paediatric health centres,canadian association of paediatric health centres,1,1,David Nicholas
canadian association of pediatric health centres,canadian association of pediatric health centres,1,1,David Nicholas
system of health care,system of health care,1,1,David Nicholas
conference proceedings integrating clinical practice and classroom learning,conference proceedings integrating clinical practice and classroom learning,1,1,David Nicholas
integrating clinical practice and classroom learning,integrating clinical practice and classroom learning,1,1,David Nicholas
developmental disability,developmental disability,1,1,David Nicholas
integrating qualitative research on the experience of fathers of children with neurodevelopmental disorders,integrating qualitative research on the experience of fathers of children with neurodevelopmental disorders,1,1,David Nicholas
transportation research and policy review for asd individuals across canada a lifespan perspective,transportation research and policy review for asd individuals across canada: a lifespan perspective,1,1,David Nicholas
transportation research,transportation research,1,1,David Nicholas
employer perspectives on workers with mental illness,employer perspectives on workers with mental illness,1,1,David Nicholas
employer perspectives on workers with mental illness and disability,employer perspectives on workers with mental illness and disability,1,1,David Nicholas
pediatric thoracic transplantation a transformative process,pediatric thoracic transplantation: a transformative process,1,1,David Nicholas
genetic causes of parkinson s,genetic causes of parkinson's,1,1,David Park
genetic causes of the disease,genetic causes of the disease,1,1,David Park
anesthetic outcomes in neurosurgery,anesthetic outcomes in neurosurgery,1,1,David Patterson Archer
interventional neuroradiology,interventional neuroradiology,1,1,David Patterson Archer
research anesthetic outcomes in neurosurgery,research: anesthetic outcomes in neurosurgery,1,1,David Patterson Archer
health services and policy research,health services and policy research,1,1,Dawn Kingston
perinatal mental health,perinatal mental health,1,1,Dawn Kingston
application of e technology to mental healthcare,application of e-technology to mental healthcare,1,1,Dawn Kingston
modifiable influences of child mental health,modifiable influences of child mental health,1,1,Dawn Kingston
providing mental health care options for women,providing mental health care options for women,1,1,Dawn Kingston
kingston s research has focused on providing mental health care options for women,kingston's research has focused on providing mental health care options for women,1,1,Dawn Kingston
see www hopementalhealth4women com,see: www. hopementalhealth4women. com,1,1,Dawn Kingston
visit her latest mental health web app for women across the life course at,visit her latest mental health web-app for women across the life-course at,1,1,Dawn Kingston
www hopementalhealth4women com,www. hopementalhealth4women. com,1,1,Dawn Kingston
e mental health for women e mental health for women across the life course,e-mental health for women e-mental health for women across the life-course,1,1,Dawn Kingston
e mental health for women,e-mental health for women,1,1,Dawn Kingston
e mental health for women across the life course,e-mental health for women across the life-course,1,1,Dawn Kingston
in the news renewed funding for cross provincial chair in women s mental health,in the news renewed funding for cross-provincial chair in women's mental health,1,1,Dawn Kingston
alberta women s health foundation,alberta women's health foundation,1,1,Dawn Kingston
renewed funding for cross provincial chair in women s mental health,renewed funding for cross-provincial chair in women's mental health,1,1,Dawn Kingston
finding the fractures in women s health,finding the fractures in women's health,1,1,Dawn Kingston
developmental genetics,developmental genetics,1,1,Deborah Kurrasch
developmental neuroscience,developmental neuroscience,1,1,Deborah Kurrasch
neural stem cells,neural stem cells,1,1,Deborah Kurrasch
cellular and molecular neuroscience,cellular and molecular neuroscience,1,1,Deborah Kurrasch
studying neural stem cell behaviors,studying neural stem cell behaviors,1,1,Deborah Kurrasch
impact of environmental factors,impact of environmental factors,1,1,Deborah Kurrasch
children s long term health,children's long term health,1,1,Deborah Maryanne Dewey
neurodevelopmental outcomes of children,neurodevelopmental outcomes of children,1,1,Deborah Maryanne Dewey
children s neurodevelopmental outcomes in infancy,children's neurodevelopmental outcomes in infancy,1,1,Deborah Maryanne Dewey
reading disorders,reading disorders,1,1,Deborah Maryanne Dewey
developmental coordination disorder,developmental coordination disorder,1,1,Deborah Maryanne Dewey
brain basis,brain basis,1,1,Deborah Maryanne Dewey
environmental exposures on maternal,environmental exposures on maternal,1,1,Deborah Maryanne Dewey
all non genetic factors factors,all non genetic factors) factors,1,1,Deborah Maryanne Dewey
brain structure,brain structure,1,1,Deborah Maryanne Dewey
children with neurodevelopmental disorders including developmental coordination disorder,children with neurodevelopmental disorders including developmental coordination disorder,1,1,Deborah Maryanne Dewey
autsim spectrum disorder,autsim spectrum disorder,1,1,Deborah Maryanne Dewey
genetic basis genes of developmental coordination disorder,genetic basis genes of developmental coordination disorder,1,1,Deborah Maryanne Dewey
mental health in canada,mental health in canada,1,1,Deborah Maryanne Dewey
children s brain,children's brain,1,1,Deborah Maryanne Dewey
behavioural development,behavioural development,1,1,Deborah Maryanne Dewey
global health,global health,1,1,Deborah Maryanne Dewey
maternal mental health on children s brains,maternal mental health) on children’s brains,1,1,Deborah Maryanne Dewey
parental mental health,parental mental health,1,1,Deborah Maryanne Dewey
maternal nutrition and children s brain,maternal nutrition) and children's brain,1,1,Deborah Maryanne Dewey
es on neurobiological,es on neurobiological,1,1,Deborah Maryanne Dewey
epigenetic factors associated with neurodevelopmental,epigenetic factors associated with neurodevelopmental,1,1,Deborah Maryanne Dewey
effects of the prenatal environment on children s brains,effects of the prenatal environment on children’s brains,1,1,Deborah Maryanne Dewey
effects of genetics,effects of genetics,1,1,Deborah Maryanne Dewey
epigenetics on neurodevelopment,epigenetics on neurodevelopment,1,1,Deborah Maryanne Dewey
neurodevelopment my research program is examining the associations between prenatal exposures,neurodevelopment my research program is examining the associations between prenatal exposures,1,1,Deborah Maryanne Dewey
neurodevelopmental disorders my research focuses on the co morbidity of neurodevelopmental disorders,neurodevelopmental disorders my research focuses on the co-morbidity of neurodevelopmental disorders,1,1,Deborah Maryanne Dewey
maternal nutrition maternal mental health and environmental exposures on maternal and child health,"maternal nutrition, maternal mental health and environmental exposures on maternal and child health",1,1,Deborah Maryanne Dewey
mental health my research is investigating the early predictors of child mental health,mental health my research is investigating the early predictors of child mental health,1,1,Deborah Maryanne Dewey
es on neurobiological genetics and epigenetic factors associated with neurodevelopmental,"es on neurobiological, genetics and epigenetic factors associated with neurodevelopmental",1,1,Deborah Maryanne Dewey
developmental coordination disorder attention deficit hyperactivity disorder and autsim spectrum disorder,"developmental coordination disorder, attention deficit/hyperactivity disorder, and autsim spectrum disorder",1,1,Deborah Maryanne Dewey
genetic basis genes of developmental coordination disorder and co occurring disorders,genetic basis genes of developmental coordination disorder and co-occurring disorders,1,1,Deborah Maryanne Dewey
es on the co morbidity of neurodevelopmental disorders,es on the co-morbidity of neurodevelopmental disorders,1,1,Deborah Maryanne Dewey
exposomic i e all non genetic factors factors,"exposomic (i. e., all non genetic factors) factors",1,1,Deborah Maryanne Dewey
research is investigating the early predictors of child mental health,research is investigating the early predictors of child mental health,1,1,Deborah Maryanne Dewey
brain structure and function in typically developing children and children with neurodevelopmental disorders,brain structure and function in typically developing children and children with neurodevelopmental disorders,1,1,Deborah Maryanne Dewey
maternal health mental health and nutrition,"maternal health, mental health, and nutrition",1,1,Deborah Maryanne Dewey
significance to public health evidence from animal models and one human study show,significance to public health: evidence from animal models and one human study show,1,1,Deborah Maryanne Dewey
world health organization recommends,world health organization recommends,1,1,Deborah Maryanne Dewey
regulation of key genes involved in neurodevelopment,regulation of key genes involved in neurodevelopment,1,1,Deborah Maryanne Dewey
motor development,motor development,1,1,Deborah Maryanne Dewey
significance to public health,significance to public health,1,1,Deborah Maryanne Dewey
aims hypothesis and significance to public health,"aims, hypothesis and significance to public health",1,1,Deborah Maryanne Dewey
dnam variation in genes involved in neurodevelopment,dnam variation in genes involved in neurodevelopment,1,1,Deborah Maryanne Dewey
motor development are mediated by dnam,motor development are mediated by dnam,1,1,Deborah Maryanne Dewey
significance to public health evidence from animal models,significance to public health: evidence from animal models,1,1,Deborah Maryanne Dewey
alterations in brain structure,alterations in brain structure,1,1,Deborah Maryanne Dewey
poorer neurodevelopmental in the children in apron,poorer neurodevelopmental in the children in apron,1,1,Deborah Maryanne Dewey
change the outcomes of at risk children,change the outcomes of at risk children,1,1,Deborah Maryanne Dewey
healthy relationships,healthy relationships,1,1,Deinera Exner-Cortens
school mental health violence prevention healthy relationships suicide prevention program evaluation adolescent dating violence,"school mental health, violence prevention, healthy relationships, suicide prevention, program evaluation, adolescent dating violence",1,1,Deinera Exner-Cortens
research school mental health,research school mental health,1,1,Deinera Exner-Cortens
emotional processing,emotional processing,1,1,Derya Sargin
affective behaviors,affective behaviors,1,1,Derya Sargin
community support and cognitive science help flourish non speaking autistics talk by dr,community support and cognitive science help flourish non-speaking autistics (talk by dr,1,1,Diwakar Krishnamurthy
community support and cognitive science help flourish non speaking autistics,community support and cognitive science help flourish non-speaking autistics,1,1,Diwakar Krishnamurthy
more information postdocs dr,more information postdocs dr,1,1,Diwakar Krishnamurthy
environmental research,environmental research,1,1,Diwakar Krishnamurthy
fidelity scales,fidelity scales,1,1,Donald Emile Addington
first episode psychosis,first episode psychosis,1,1,Donald Emile Addington
psychosis risk,psychosis risk,1,1,Donald Emile Addington
this measurement method supports the development of standards,this measurement method supports the development of standards,1,1,Donald Emile Addington
peripheral nervous system,peripheral nervous system,1,1,Douglas William Zochodne
diabetic polyneuropathy and peripheral neuron regeneration,diabetic polyneuropathy and peripheral neuron regeneration,1,1,Douglas William Zochodne
diabetic polyneuropathy,diabetic polyneuropathy,1,1,Douglas William Zochodne
peripheral neuron regeneration,peripheral neuron regeneration,1,1,Douglas William Zochodne
research peripheral nervous system,research peripheral nervous system,1,1,Douglas William Zochodne
pediatric brain computer interfaces bcis,pediatric brain-computer interfaces (bcis),1,1,Eli Kinney-Lang
movement impairment,movement impairment,1,1,Elizabeth Condliffe
robotic rehabilitation,robotic rehabilitation,1,1,Elizabeth Condliffe
danish team visits ucalgary to strengthen adaptive sport partnerships,danish team visits ucalgary to strengthen adaptive sport partnerships,1,1,Elizabeth Condliffe
interprofessional education,interprofessional education,1,1,Eloise Carr
complex trauma and mental health issues,complex trauma and mental health issues,1,1,Emily Wang
complex trauma,complex trauma,1,1,Emily Wang
doctorate of philosophy in clinical psychology,doctorate of philosophy in clinical psychology,1,1,Emily Wang
trauma informed services at hull services,trauma informed services at hull services,1,1,Emily Wang
appointed fellow of the neurosequential model network,appointed fellow of the neurosequential model network,1,1,Emily Wang
research complex trauma,research complex trauma,1,1,Emily Wang
c residential treatment for children youth,c.. residential treatment for children & youth,1,1,Emily Wang
applying a neurodevelopmental approach in residential interventions leiberman,applying a neurodevelopmental approach in residential interventions.. leiberman,1,1,Emily Wang
applying a neurodevelopmental approach in residential interventions,applying a neurodevelopmental approach in residential interventions,1,1,Emily Wang
what does it mean to be trauma informed,what does it mean to be trauma informed,1,1,Emily Wang
skillsets lie in the field of network neuroscience,skillsets lie in the field of network neuroscience,1,1,Emma Towlson
genes within the cell,genes within the cell,1,1,Emma Towlson
network neuroscience offers powerful mathematical frameworks,network neuroscience offers powerful mathematical frameworks,1,1,Emma Towlson
studies of brain networks across different species,studies of brain networks across different species,1,1,Emma Towlson
be used to describe various disorders,be used to describe various disorders,1,1,Emma Towlson
diseases in the human brain,diseases in the human brain,1,1,Emma Towlson
predict therapeutic interventions e g,predict therapeutic interventions (e. g,1,1,Emma Towlson
cognitive developmental psychology,cognitive developmental psychology,1,1,Erica Makarenko
canadian journal for the scholarship of teaching and learning 10 2,"canadian journal for the scholarship of teaching and learning, 10(2)",1,1,Erica Makarenko
journal of learning disabilities 48 5,"journal of learning disabilities, 48(5)",1,1,Erica Makarenko
empirical review of the mental health,empirical review of the mental health,1,1,Erica Makarenko
empirical review of the mental health and wellbeing of online instructors,empirical review of the mental health and wellbeing of online instructors,1,1,Erica Makarenko
psychiatric rating scales,psychiatric rating scales,1,1,Eric Chan
e mental health,e-mental health,1,1,Eric Chan
emergency psychiatry,emergency psychiatry,1,1,Eric Chan
human intracranial cognitive neurophysiology,human intracranial cognitive neurophysiology,1,1,Fady Girgis
new therapeutics,new therapeutics,1,1,Farnaz Amoozegar
include new therapeutics,include new therapeutics,1,1,Farnaz Amoozegar
visual pathways,visual pathways,1,1,Fiona Costello
central nervous system,central nervous system,1,1,Fiona Costello
joan allen investigatorship for vision research,joan allen investigatorship for vision research,1,1,Fiona Costello
canadian neurological sciences federation,canadian neurological sciences federation,1,1,Fiona Costello
north american neuro ophthalmology society,north american neuro-ophthalmology society,1,1,Fiona Costello
international women in multiple sclerosis network,international women in multiple sclerosis network,1,1,Fiona Costello
in multiple sclerosis,in multiple sclerosis,1,1,Fiona Costello
conditions for a social,conditions for a social,1,1,Frank Stahnisch
when viewing instances of social debates,when viewing instances of social debates,1,1,Frank Stahnisch
health care,health care),1,1,Frank Stahnisch
public mental health particularly canada,public mental health (particularly canada,1,1,Frank Stahnisch
adaptation problems of many migr psychiatrists,adaptation problems of many émigré psychiatrists,1,1,Frank Stahnisch
who could be classified as early neuroscientists,who could be classified as early “neuroscientists”,1,1,Frank Stahnisch
public health,public health,1,1,Frank Stahnisch
gender studies,gender studies,1,1,Frank Stahnisch
history of psychiatry,history of psychiatry,1,1,Frank Stahnisch
pharmaceutical history,pharmaceutical history,1,1,Frank Stahnisch
cancer treatment,cancer treatment,1,1,Frank Stahnisch
public health throughout modern history,public health throughout modern history,1,1,Frank Stahnisch
regulatory frameworks for pharmaceutical research,regulatory frameworks for pharmaceutical research,1,1,Frank Stahnisch
development in the period,development in the period,1,1,Frank Stahnisch
authoritative discourse within iode public health initiatives,authoritative discourse within iode public health initiatives,1,1,Frank Stahnisch
environmental factors in historical events,environmental factors in historical events,1,1,Frank Stahnisch
canadian journal of psychiatry,canadian journal of psychiatry,1,1,Frank Stahnisch
environmental disasters likewise contributed to nineteenth century outbreaks,environmental disasters likewise contributed to nineteenth-century outbreaks,1,1,Frank Stahnisch
anthropology in their social,anthropology in their social,1,1,Frank Stahnisch
medical notions brings together trends in public health,"medical notions"" brings together trends in public health",1,1,Frank Stahnisch
urbanization extended the pathogen s range,urbanization extended the pathogen’s range,1,1,Frank Stahnisch
journal of the history of the neurosciences,journal of the history of the neurosciences,1,1,Frank Stahnisch
function experimental strategies,function - experimental strategies,1,1,Frank Stahnisch
physiology bochum,physiology bochum,1,1,Frank Stahnisch
erna eds psychiatry,erna (eds.). psychiatry,1,1,Frank Stahnisch
frank w ed migr psychiatrists,frank w. (ed.). émigré psychiatrists,1,1,Frank Stahnisch
psychiatry new perspectives london routledge,psychiatry - new perspectives . london: routledge,1,1,Frank Stahnisch
migr psychiatrists,émigré psychiatrists,1,1,Frank Stahnisch
psychiatry new perspectives,psychiatry - new perspectives,1,1,Frank Stahnisch
probing the limits of method in the neurosciences,probing the limits of method in the neurosciences,1,1,Frank Stahnisch
mcgill queen s associated medical services studies in the history of medicine health and society,"mcgill-queen’s/associated medical services studies in the history of medicine, health, and society",1,1,Frank Stahnisch
neuroscience research in the max planck society,"""neuroscience research in the max-planck-society",1,1,Frank Stahnisch
physiology series editor chr,physiology” . series editor: chr,1,1,Frank Stahnisch
disruptive disorders of childhood,disruptive disorders of childhood,1,1,Gabrielle Wilcox
transition age youth,transition-age youth,1,1,Gabrielle Wilcox
school psychologists intellectual disabilities transition age youth,school psychologists intellectual disabilities transition-age youth,1,1,Gabrielle Wilcox
developmental psychopathology ad hd and disruptive disorders of childhood,developmental psychopathology: ad/hd and disruptive disorders of childhood,1,1,Gabrielle Wilcox
funded by calgary police youth foundation,funded by: calgary police youth foundation,1,1,Gabrielle Wilcox
funded by sshrc insight development grant,funded by sshrc insight development grant,1,1,Gabrielle Wilcox
learning disabilities a contemporary journal,learning disabilities: a contemporary journal,1,1,Gabrielle Wilcox
book chapters connecting mental health,book chapters connecting mental health,1,1,Gabrielle Wilcox
books and book chapters connecting mental health and academic success,books and book chapters connecting mental health and academic success,1,1,Gabrielle Wilcox
connecting mental health,connecting mental health,1,1,Gabrielle Wilcox
connecting mental health and academic success,connecting mental health and academic success,1,1,Gabrielle Wilcox
mental health vancouver island mental health society,mental health. . vancouver island mental health society,1,1,Gabrielle Wilcox
